text,word_count,text_length,label
"HANOI (Reuters) - U.S. President Donald Trump said on Sunday that it was possible he could be friends with North Korean leader Kim Jong Un one day and that it would be  very, very nice  but he was not sure that it would happen. Asked at a news conference in Vietnam if he could see himself being friends with Kim, Trump said:  That might be a strange thing to happen but it s a possibility.   If it did happen it could be a good thing I can tell you for North Korea, but it could also be good for a lot of other places and be good for the rest the world,  Trump said.   It could be something that could happen. I don t know if it will but it would be very, very nice.  ",135,669,1
"We may not agree with MOST of what rapper Azalea Banks has to say, but she is a fierce defender of free speech and as such, has come out with a flurry of in-your-face tweets to the black, typically Democrat voters, announcing her supporting Donald Trump. Donald Trump can add another member of Hollywood to his list of supporters.Azalea Banks offered her support for Donald Trump in a series of tweets that started out with,  I REALLY want Donald Trump to win the election. She went on to say  Trump just wants the U.S. to be lavish for all of us.  Her tweet seems to suggest that Trump wants everyone to have the opportunity to prosper in America. She followed it up by saying,  Hillary talks to black people as if we re children or pets. i can t stand herrrrr. When her followers called her out, suggesting Trump was a  racist  and  symbol of hatred,  Banks replied:Banks defends her right to her opinion against angry Twitter followers over her endorsement of Trump: It wasn t that long ago Azealia Banks called for the gang rape of Sarah Palin. We re not so sure her endorsement is one that Donald Trump will embrace. ",203,1122,0
"You certainly don t want to get caught showing pride for your nation  Kinda reminds us of the kids who got sent home from school for wearing an American flag on their shirts because they offended the Mexican immigrant students Ten pupils at a secondary school in Gossau turned up for their lessons wearing an edelweiss shirt on Friday.A teacher was very unhappy at the sight of this typically Swiss clothing; he asked them to go and put something else on.According to the  SonntagsZeitung , the teacher considered that this manner of dress conveyed  racist and xenophobic  ideas. The ten pupils decided to come to school wearing peasant shirts and to sing patriotic songs to show their  pride in being Swiss .Tensions with classmates of Balkan origin are said to be at the origin of this initiative, reports the German-speaking weekly. The school s headmaster is trying to calm things down. Patrick Perenzin points out that peasant shirts do not violate any institutional dress code and that they are not forbidden. But he adds that, in his view, the ten pupils behaved badly. When worn by one pupil, this clothing is not insulting. But when ten pupils decide to wear it at the same time, they are trying to  send a message , says the headmaster. Via: 20min.com",218,1261,0
"An Arkansas woman who went to pick up the class ring she ordered from Walmart left disappointed, after store officials told her the retailer s new policy barred them from turning the item over   because it bore an image of the Confederate flag.Elaine Glidewell told KFSM someone from the store in Fort Smith called her to pick up the ring she d ordered for her nephew, but when she arrived on Tuesday, a clerk told her she couldn t have it. The ring had been ordered before Walmart stopped selling items bearing images of the flag, in the wake of controversy that stemmed from a racially-charged shooting in South Carolina. I wanted to cry,  Glidewell told KFSM, adding that the store clerk said the ring would be  melted. Glidewell said she paid $320 for the ring and was going to present it to her nephew, who recently graduated. He had expressed interest in a design that bore a Rebel mascot that incorporates the Confederate battle flag. She got her money back, but no ring. They wouldn t let me have the ring. It had a note on it, was in a plastic bag, it said do not sell. It was signed by the store manager,  Glidewell said.Brian Nick, spokesman for Walmart, told FoxNews.com Glidewell was denied the ring because her transaction came after the retailer made a  business decision  to stop selling items with the Confederate flag on it.Via: FOX News",241,1355,0
"Anila Ali was born in Karachi, Pakistan, and studied in London, where she became a volunteer in the All Pakistan Women s Association. In 1996, she came to California. She is an active member of the Council of Pakistan-American Affairs (COPAA), the author of  Mommy am I a ?  and a contributor to the largest Pakistani paper in the U.S., The Pakistan Link.Ali is the founder and board member of the American Muslim Women s Empowerment Council, which is the only Muslim women s organization that works on the ground with law enforcement and interfaith leaders to counter radicalization and build capacity in the Muslim community do they can be the first line of defense against radicalization.She graciously agreed to speak with Clarion Project Dialogue Coordinator Elliot Friedland about being a Muslim-American since the election. The views expressed herein are the author s own and do not necessarily reflect the view of Clarion Project. Ryan Mauro previously interviewed Anila Ali for Clarion Project.1. Clarion Project: Since Trump s election many Muslim groups are feeling scared that he will implement repressive policies targeted at the Muslim community. How do you feel about such fears?Anila Ali: There is a real fear in the community that a Trump presidency will mean restrictions on Muslims. There is talk of internment camps and it was in registry and that is generating a lot of misconceptions and fears. There is also a concern that Mosques and citizens will be monitored as well.Personally, I have faith in the constitution of the United States of America and I feel majority of America knows and understands that you cannot make generalized statements about all Muslims and paint all Muslims with the same brush stroke.But we have also realize that it is time that Muslims in America step up their game and get more involved in making sure that the neighbors understand who they are and that they are peace-loving patriotic Americans.For it is mostly the fear of the unknown that spreads misconceptions.2. Clarion: What should public figures be doing to calm inter-communal relations?Ali: Public figures, especially the ones in the majority party, have a responsibility to represent all Americans. Their words can help alleviate fears about Muslims and stop the Muslims from getting marginalized. Show of support unity with all unities that maybe feeling slightly marginalized, will help them from further isolation.The level of hateful rhetoric that I have heard in the past one month has been the worst since 911. It seems people have a newfound courage to tell  Muslims to leave the country,   pack up and leave the country  etc. Anti-Muslim sentiment is rampant and most people are not able to distinguish between a radical and a moderate.There is a general perception that all Muslims condone violence and that all Muslims want sharia law in America. There is also a very toxic perception that Muslims like myself who are any patriotic, modern and progressive are lying as mandated in the Quran to convert people, the concept being taqqiya. This notion must be dispelled because the majority of Muslims don t even know what this concept is. Muslims who have come from South Asia have no idea of this Arabic concept because it is part of the Wahhabi Salafist ideology and Muslims like me, majority coming from South Asia, have never even heard of it.These misconceptions in the mainstream community must be countered and dispelled.3. Clarion: What do you think the impact of designating the Muslim Brotherhood as a terrorist organization would be if it passed?Ali: If Arab countries can ban Muslim brotherhood why can t we? Any organization that has terrorist ties should be banned in the US. Any organization that condone the killing of an innocent, or promote so insights hatred for non-Muslims should be banned.4. Clarion: What organizations or activists would you recommend as standing up for the rights of the community and are unaffiliated with the Muslim Brotherhood or related organizations?Ali: Of course I would promote my own organization American Muslim women s empowerment Council, formed to counter extremism which gives women a voice, promotes the real Islam, gives women equality and completely condemns all shapes and forms of terrorism and hatred.Whoever wants to follow sharia law should migrate to a Muslim country like Saudi Arabia.For entire interview, go to the Clarion Project",719,4419,0
"Donald Trump s undeserved time in the White House may soon come to a gloriously relieving end as one of his biggest scandals threatens to blow up in his face.According to a source close to the investigation examining the ties between Russia and the Trump campaign, there is now specific concrete and corroborative evidence  that Trump s inner circle colluded with Russian operatives during the presidential election. The Guardian reported that the U.K. s Government Communications Headquarters (GCHQ), which has been watching over the Trump campaign since 2015, has noted several shady  interactions  going on between Trump s people and Russian agents.The GCHQ hadn t been necessarily looking for this information but picked it up during routine surveillance. It wasn t long before other intelligence agencies began to see the same pattern. The U.S. also received information from the  Five Eyes  alliance (U.S., U.K., Canada, Australia and New Zealand) and European agencies in Germany, Estonia, and Poland. The Guardian reported: It is understood that GCHQ was at no point carrying out a targeted operation against Trump or his team or proactively seeking information. The alleged conversations were picked up by chance as part of routine surveillance of Russian intelligence assets. Over several months, different agencies targeting the same people began to see a pattern of connections that were flagged to intelligence officials in the US. With all of this gathered intelligence taken into consideration, the source close to the investigation said: They now have specific concrete and corroborative evidence of collusion. This is between people in the Trump campaign and agents of [Russian] influence relating to the use of hacked material. They [the European agencies] were saying:  There are contacts going on between people close to Mr Trump and people we believe are Russian intelligence agents. You should be wary of this.  The message was:  Watch out. There s something not right.' As this investigation continues and collusion is confirmed, we might be looking at the end of Trump and his corrupt administration.Featured image via Pool/Getty Images",337,2160,0
"What could possibly go wrong?Rep. Mike Pompeo is a right-wing extremist who has no problem violating human and civil rights.But Donald Trump just picked the Kansas Republican to be the next director of the CIA, which should deeply disturb every American.In fact, it should worry everyone around the world because the Tea Party is now in charge of America s top intelligence agency. I am honored to have been given this opportunity to serve and to work alongside President-elect Donald J. Trump to keep America safe,  Pompeo said in a statement.  I also look forward to working with America s intelligence warriors, who do so much to protect Americans each and every day. But Pompeo isn t a reasonable man who will guide the CIA to success. He s going to lead them down a path that will erode the rights of American citizens and inflame the Muslim world.First, Pompeo supports the massive wire-tapping and information collecting being performed by the National Security Agency. I am convinced that intelligence collection actions are not only lawful and constitutional, but also consistent with the critical mission of defeating radical Islamic terrorism,  Pompeo has said.Of course, these  collection actions  are totally unconstitutional because the NSA doesn t have warrants to spy on millions of Americans every day via phone, Internet, and surveillance.Second, Pompeo hates Iran and opposed the nuclear deal achieved by President Obama that has reduced Iran s capability to build nuclear weapons. If Pompeo had his way, the whole deal would be ripped up, which would give Iran another reason to hate us and resume their quest to obtain a nuclear weapon.And finally, Pompeo is a big fan of using torture against enemy combatants even though it s a crime against humanity that is banned under United States and international law. The information we learned from the enhanced interrogation program was important, and led directly to the capture of Osama bin Laden,  Pompeo claimed in 2014. But that s a lie. Torture did not help us find Osama bin Laden.According to Mother Jones,CIA records indicate that: (1) the CIA had extensive reporting on [bin Laden courier] Abu Ahmad al-Kuwaiti (variant Abu Ahmed al-Kuwaiti), the UBL facilitator whose identification and tracking led to the identification of UBL s compound and the operation that resulted in UBL s death, prior to and independent of information from CIA detainees; (2) the most accurate information on Abu Ahmad al-Kuwaiti obtained from a CIA detainee was provided by a CIA detainee who had not yet been subjected to the CIA s enhanced interrogation techniques; and (3) CIA detainees who were subjected to the CIA s enhanced interrogation techniques withheld and fabricated information about Abu Ahmad al-Kuwaiti.In short, torture had nothing to do with finding bin Laden.If Pompeo and Trump authorize the CIA to use torture again it will only inflame the Middle East and give ISIS a recruiting message that will draw more fighters to their group. We want to weaken ISIS, not make them stronger. Using torture will only weaken our moral high ground and cause more terrorist attacks around the world and in the United States. Now more than ever we need a responsible CIA director who will gather intelligence the right way. Because if not, we could end up being led into more wars and a darker more dangerous world.Featured Image: Flickr",559,3396,0
"YANGON (Reuters) - The number of refugees arriving in Bangladesh from Myanmar since Aug. 25 has risen to 480,000, international aid bodies said on Tuesday, adding that the figure had risen because 35,000 new arrivals had not been included in a previous tally. The refugees are fleeing a Myanmar military offensive launched in response to about 30 coordinated attacks by Rohingya Muslim insurgents on Aug. 25.  The change in the new arrivals figure ... is due, in large part, to the additional estimated 35,000 new arrivals settling in the two refugee camps, which was not reported in the last situation report,  the Inter-Sector Coordination Group of aid agencies said in a statement.    ",112,688,1
"PARIS (Reuters) - The right-hand man of French National Front chief Marine Le Pen quit the party on Thursday, a split that opens the way for policy changes in the far-right party and shows the depth of internal feuding after Le Pen s presidential election defeat. The departure of Florian Philippot, for years Le Pen s closest aide and a key architect of efforts to detoxify the party s image while campaigning against the euro, had looked increasingly inevitable as the party bickered over who was to blame for a damaging electoral cycle. His exit is expected to allow Le Pen to refocus on core policies around immigration and French national identity, while perhaps softening her anti-euro tone, which many say contributed to Le Pen s resounding defeat in the presidential election run-off. While Philippot s departure is likely to increase turmoil in the party at first and others have already said they would follow him out the door, the FN has survived similar crises in the past and analysts expect it to do the same this time. Philippot is seen as too divisive within the far-right to create a party that would be a serious threat. Le Pen, who has shown a sometimes ruthless determination to hold on to power in the National Front, having already pushed out her father Jean-Marie, the founder of the party, withdrew Philippot s responsibilities within the movement late on Wednesday, leaving him with little choice about his future.  I m not into being ridiculed, I m not into having nothing to do. And so yes, of course, I m quitting the National Front,  Philippot, 35 and a graduate of France s elite administrative school ENA, told France 2 television. Le Pen, who just last year spoke of having an  intellectual crush  on Philippot, responded tersely that the FN would have no problems of getting over his departure.  One should stop trying to bury the National Front,  she told LCP television.  Every time people have tried to do it, it came out better-structured, stronger and more powerful.    The National Front, which has made major inroads in local, regional and European elections over the past decade without winning any major constituency, will hold a congress in March where internal differences since its defeat to Emmanuel Macron and his new party will come to a head. The far-right party has tried to portray itself as the main voice of opposition against Macron. But that mantle has so far been assumed by Jean-Luc Melenchon, the leader of the far-left France Insoumise (France Unbowed), who is calling for mass demonstrations against the president s economic reforms. FAR-LEFT THRILLED Appearing on France s RTL Radio on Thursday, Melenchon reveled in the turmoil on the far-right.  Excellent, that s their business. It s perfect,  he said in reaction to Philippot s departure.  It s a party that counts for nothing. Those that were angry but aren t fascists, I urge them to turn their back (on the FN) and come and join us.      J r me Fourquet, an expert on the far-right at polling group Ifop, said Philippot s exit would deprive the party of experienced policy writers. But he said any exodus was likely to be limited and short of those who quit when Bruno Megret left the party in 1988, when it was led by Jean-Marie Le Pen. Megret created his own party but it never attracted many votes.  Those who leave the FN or are pushed out all end up being marginalized,  Fourquet said.  Philippot joined the party in 2011 and rose quickly to become Le Pen s chief adviser. He was instrumental in crafting her policies and her 2012 and 2017 election manifestos.  Sophie Montel, one of Philippot s closest aides and an FN member for over 30 years, said on Twitter she was quitting the party. So did several other Philippot allies. But other more high profile figures rejoiced, including Le Pen s partner Louis Aliot.  The FN will finally have some peace of mind away from a sectarian, arrogant, vain extremist who was trying to muzzle our freedom to debate,  Aliot said on Twitter.   He thinks he s right about everything and... for me he s an extremist,  he said later, speaking to RMC.  When you show him a poll that says 75 percent of the French people don t want to leave the euro, his reply is  we don t give a damn, that s where we are going.  Robert Menard, an FN ally and a mayor in southern France, was even blunter, saying:  We need to stop with the anti-Europeanism and the Melenchon-type (economic) policies.  Le Pen said the party would continue to fight the EU and wanted a return to monetary sovereignty. But after many flip-flops on the issue, she did not spell out precisely what that would entail. ",808,4637,1
https://www.youtube.com/watch?v=sWbYpIj7CQ8,1,43,0
"WASHINGTON (Reuters) - The Securities and Exchange Commission on Monday approved the budget for the auditing watchdog that oversees the work of leading U.S. accounting firms. The SEC staff recommended approving the budget of the Public Company Accounting Oversight Board (PCAOB) and SEC Commission Chair Mary Jo White and Commissioner Kara Stein endorsed the $257.7 million budget. Commissioner Michael S. Piwowar voted against, saying he was skeptical of the nearly 3 percent increase in the PCAOB budget from a year ago. He also said he was not persuaded that the additional burden on accounting firms and broker-dealers, which fund the PCAOB through fees, was merited. “The Commission represents the only safeguard to an otherwise unilateral ability to impose the accounting support fee on companies and broker-dealers,” said. The SEC controls the budget and assigns members of the PCAOB, which was conceived to prevent future accounting scandals like the one that brought down energy company Enron in 2001. The SEC has two vacant seats and the Senate Banking Committee is due on Tuesday to consider two nominees put forward by the White House. Commission Chair Mary Jo White has said she intends to wait until the agency once again has its full, five-member panel before moving forward to appoint a new PCAOB chief. Current PCAOB Chairman James Doty’s term expired last fall. ",221,1380,1
 ,0,1,0
"Saturday Night Live is back with new episodes, and this week s cold open did not disappoint. As the iconic show went live coast-to-coast for the first time in history, they went all in on the incompetence of The Donald s reality show  presidency.   Alec Baldwin returned as the reliably buffoonish Trump, and Jimmy Fallon played the notoriously silent son-in-law and top adviser, Jared Kusher. To round off the spoof, the Grim Reaper returned as the newly diminished Steve Bannon. There was even a cameo by  Mike Pence,  played by Beck Bennett, where the show ruthlessly mocked reports that Pence actually calls his wife  mother. In the spoof, Baldwin s Trump is doing a reality-show style elimination round to finally end the Kushner vs. Bannon feud that has been irritating him and amusing the rest of us for weeks now. He starts out by saying that he is holding a photo of each adviser, and only one will get to stay.  Trump  praises  Kushner  for being photogenic, while telling  Bannon  that pictures of him make him want to puke. In the end, Kushner is chosen, and another Grim Reaper-like figure comes to take  Bannon  to hell. After that, SNL kicked off what is sure to be a successful  President Kushner  narrative, as they have  Trump  tell  Kushner  to sit at the president s desk in the Oval Office, while  Trump  himself returns to the child s desk to play with his toys, just as he did in previous episodes with  President Bannon. All in all, SNL outdid themselves with this one. There are no words to describe how funny this is.Watch below for the most hilarious few minutes of your evening:Featured image via video screen capture",286,1645,0
"(Reuters) - Donald Trump’s son-in-law, Jared Kushner, informally approached LionTree Advisors Chief Executive Aryeh Bourkoff about setting up a Trump TV network after the U.S. presidential election, but the investment bank does not want to be involved, according to a person familiar with the matter. Kushner contacted Bourkoff, one of the media industry’s top dealmakers, in the past few months, but there have been no further conversations, the source said on Monday. The source asked not to be identified because the discussions were private. There was no reason given for LionTree’s reluctance to participate in the process.  The Financial Times first reported the LionTree talks earlier on Monday, citing sources.(on.ft.com/2dIbnrX) Trump, the Republican U.S. presidential nominee, told the Washington Post last month he had “no interest in a media company” and that reports he was considering setting up one were “a false rumor.” He trails Democratic rival Hillary Clinton in opinion polls ahead of the Nov. 8 election. Kushner, the owner of the weekly New York Observer newspaper, is married to Trump’s daughter Ivanka. Kushner did not respond to requests for comment. LionTree declined comment. To set up a television network, Trump would have to negotiate with cable and satellite carriers, which can be an arduous task. It can then take years to turn a profit. Fox News Channel, the most-watched U.S. cable network, took five years to be profitable.  It might be easier and less expensive for Trump to launch an online streaming service. ",245,1548,1
"CHICAGO (Reuters) - U.S. President-elect Donald Trump has requested that a trial over a lawsuit by former students of his now-defunct Trump University be put on hold until after the presidential inauguration, according to a motion filed by his lawyer late Saturday. A trial in federal court in San Diego over former Trump University students’ claims that they were defrauded by a series of real-estate seminars is scheduled to begin on Nov. 28, but Trump lawyer Daniel Petrocelli said the president-elect needs to “devote all of his time and attention to the transition process.” Trump is due to assume office on Jan. 20, 2017.  “The 69 days until inauguration are critical and all-consuming,” Petrocelli said in the filing, arguing that the president-elect should not be required to stand trial during that time. Petrocelli had said at a hearing in San Diego on Thursday that he would request the delay, though U.S. District Judge Gonzalo Curiel, who is overseeing the lawsuit, told lawyers he was not inclined to put off the six-year-old case further and encouraged the parties to settle. The lawsuit involves students who claim they were lured by false promises to pay up to $35,000 to learn Trump’s real estate investing “secrets” from his “hand-picked” instructors. Trump owned 92 percent of Trump University and had control over all major decisions, the students’ court papers say. The president-elect denies the allegations and has argued that he relied on others to manage the business.  Curiel also tentatively rejected last week a bid by the president-elect to keep a wide range of statements from the presidential campaign, which included attacks against Curiel himself, out of the fraud trial.  Trump attacked the judge as biased against him. He claimed Curiel, who was born in Indiana but is of Mexican descent, could not be impartial because of Trump’s election campaign pledge to build a wall between the United States and Mexico.  Trump’s lawyers have argued that Curiel should bar from the trial accusations about Trump’s personal conduct including alleged sexual misconduct, his taxes and corporate bankruptcies, along with speeches and tweets. Curiel is presiding over two cases against Trump and the university. A separate lawsuit by New York’s attorney general is pending. While presidents enjoy immunity from lawsuits arising from their official duties, the U.S. Supreme Court has held that this shield does not extend to acts alleged to have taken place prior to taking office. ",402,2501,1
"Our good friends at Thomas More Law Center just won a great case for free speech and the unborn! The judge who rendered the decision is an Obama appointee which makes this victory all the sweeter!In a huge victory for free speech and unborn babies, United States District Judge Nancy Torresen, yesterday, issued a preliminary injunction barring the Maine Attorney General and City of Portland police officers from enforcing the Noise Provision of the Maine Civil Rights Act ( Act ). Under the Act, after being warned by a police officer, it is illegal to make noise that can be heard inside an abortion clinic with the intent to interfere with a medical procedure.In a 35 page opinion and order, Judge Torresen, an Obama appointee, held that the Noise Provision of the Act is content-based because it restricts speech based on its purpose, and therefore, is facially unconstitutional.  The Thomas More Law Center ( TMLC ), a national, nonprofit public interest law firm based in Ann Arbor, Michigan, filed a lawsuit in December 2015, on behalf of Pastor Andrew March after a Portland police officer officially warned Pastor March under the Act, and ordered him to quiet his pro-life speech on the public sidewalk outside the Portland Planned Parenthood facility or face prosecution. Despite this threat of prosecution, Pastor Andrew March courageously continued to plead for the lives of the unborn at the doors of the Planned Parenthood facility. ",239,1448,0
"It s painful to watch the stupidity and irresponsibility of the Democrats who run the city of Chicago along with Chicago Teachers Union president, Karen Lewis, one of the most hard-core radical, leftist s in the business. It s T-minus one week for Chicago Public Schools.As schools let out for the summer, CPS administrators are scrambling to come up with a more than $600 million teacher pension payment due at the end of the month and the district has zero reserves, according to media reports.The problem is further compounded by a more than $1 billion school budget shortfall for the next fiscal year and an angry teachers union hell bent on securing another raise the district can t afford. With no plan, no money and no where to turn, Chicago Mayor Rahm Emanuel seems to be focused solely on a state bailout as the solution. Springfield has to step up and help in this case, not only as it relates to just the pension payment, (but also) the educational opportunities of our children,  Emanuel said, according to the Chicago Tribune.  Because a payment will then begin to impact   the classroom. And CTU could soon partner with its mortal enemies at City Hall to lobby state lawmakers for more money. Right now, the district needs us,  CTU VP Jesse Sharkey told the news site.  The politics of (Chicago Mayor) Rahm Emanuel going to Springfield are a lot different than the politics of Rahm Emanuel and (CTU President) Karen Lewis going to Springfield. The dire financial situation comes amid a federal investigation into a $20 million no-bid contract to a previous employer of former CPS superintendent Barbara Byrd-Bennett, who resigned this month. It feels like a complete mess,  Better Government Association senior editor Sarah Karp told ABC 7.Karp doesn t think recently elected Republican Gov. Bruce Rauner, who ran on a platform of fiscal restraint and criticized union influence in Illinois, is receptive to calls for a bailout. He previously suggested that bankruptcy may be the best way out for CPS, ABC 7 reports. Now, Chicago Public Schools does not have somebody in the State House that is a Democrat or is seemingly sympathetic at all to what s going on here,  Karp said.Meanwhile, school ended for the summer on Friday, and principals around the city are left scratching their heads in planning for next school year. Normally you do your planning in the summer and you can t do too much planning without the actual dollar amount,  Coles Language Academy principal Jeff Dase told ABC 7.Dase said many Chicago principals are concerned that the budget turmoil, and looming possibility of layoffs and program cuts, could convince many of the city s teachers to seek jobs elsewhere.The Tribune reports the city council could authorize CPS to increase taxes on residents, or secure some sort of bailout, or negotiate concessions with CTU, but not even all three combined could put the budget back on track. And then there s another $228 million payment coming due for costs related to interest rate swaps on the district s debt.    (E)ven if CPS wins concession from the City Council, state lawmakers and CTU, the district won t be able to close its annual $1 billion budget gap, according to a May 22 report by Ernst & Young, which spent four weeks meeting with school finance officials and analyzing budget documents,  the Tribune reports. The report shows that even with a capital improvement tax, a separate, even-larger property tax increase, additional state aid, increased state funding of teacher pensions, concessions from the CTU and $150 million with of budget cuts, CPS would still face an annual $350 million shortfall. Next June s teacher pension payment is set to balloon to $700 million. Via: EAG News",628,3732,0
"Sean Spicer resigned today from his position in President Trump s administration. He tweeted out after his resignation a very gracious message of thanks:It s been an honor & a privilege to serve @POTUS @realDonaldTrump & this amazing country. I will continue my service through August  Sean Spicer (@PressSec) July 21, 2017It was speculated that it was a blow when the Trump administration announced yesterday that Anthony Scaramucci had joined the Trump administration as White House Communications Director.A few things   Scaramucci move is also a blow to Spicer, who has sought to have comms director report to him, as Dubke did. No chance here  Maggie Haberman (@maggieNYT) July 21, 2017NYDN reported: Spicer, who will stay on through August, told the President he vehemently disagreed with his choice for the top communications post, and his distaste was evident when reporters approached him about the appointment.ABC News White House Correspondent Johnathan Karl said the former press secretary  slammed the door in my face  when he questioned him on Scaramucci, chalking it up to  strange times. The press is using this move as a sign that the Trump administration is collapsing and in chaos:Chris Wallace:  There is a Game of Thrones quality to this @WhiteHouse; you do have various power centers that are colliding w/ each other.  pic.twitter.com/9mOlVRfxEP  Fox News (@FoxNews) July 21, 2017Chris Wallace speculated about the move with a somewhat negative view of how this will harm communications between Congress and the Trump administration He s clueless!After thanking Sean Spicer, Scaramucci made his first announcement as communications director that Sarah Huckabee Sanders will be the new press secretary:WH Communications Dir. Scaramucci:  Sean is a true American patriot  I love the guy and I wish him well  https://t.co/ZKxpKBPkEw  NBC News (@NBCNews) July 21, 2017Rush Limbaugh concluded his radio broadcast today by saying he thinks Scaramucci won t work in this position. After listening to the press conference, Limbaugh said it s clear that Scaramucci was appointed to make the press understand and  like  President Trump. Not gonna happen!",336,2166,0
"The children were greeted at the Capitol steps in the communist state of Wisconsin by protestors singing hate songs with signs that read: Republicans and Walker rape or molest women and girls.APPLETON, Wis.   I don t frequent the Capitol building in Madison so I just assumed the  Capitol Singers,  a group protesting Governor Scott Walker in song had faded away.I learned recently however that they are, as a line censored out of the sitcom  Last Man Standing  said of the Clintons,  They re like shingles; just when you think they are gone, they pop back up. I received an email recently from a listener to my radio show who chaperoned a field trip his daughter s 4th grade class at Horizons Elementary School in Appleton took to the State Capitol in late May. The story he shared was simply stunning:Everyone on the field trip to the capitol was eating lunch on the capitol steps. At the same time there was a group of people protesting Walker and Act 10 singing hate songs and holding up signs saying that Republicans and Walker rape or molest women and girls.Another parent pointed out to me that my daughter s teacher was down there singing with them. I thought that I needed to find out what was actually being sung down there because a bunch of students were down there listening and recording on their cell phones what was happening. That is when I realized that they were singing terrible hate songs against Walker and what the signs said.By the way, her teacher was holding a piece of paper with the words they were singing on it. When the kids were on their way back up they started chanting  Walker sucks  and some other mean things. That s when I stopped them and asked why they were doing that and they didn t know what to say. I asked three times and one of the boys spoke up and said that Mr. Niquette was just doing it also. That is my daughter s teacher.Feeling it inappropriate to confront the teacher in front of children, the parent contacted the school to see if such behavior violated school policy. He ended up in an email exchange with the teacher, Scott Niquette:Scott, my issue is you going down there and singing with those people on the field trip.Did you see the signs they were holding? I m guessing that you saw the words you were reading off the sheet you were holding. Do you understand what the children were doing after they saw you down there singing? Scott there is video of you singing that hate Walker song.When the kids were walking back up the hill they were chanting hate speech toward Walker until I stopped them and asked them why. The answer was obvious. Someone with influence in their lives was doing the same thing. You have influence on these children and they trust that you will lead them. For crying out loud Scott those signs were way inappropriate. Talking about molesting children and raping women.In a show of Olympian chutzpah, Niquette pleaded ignorance in his response:With respect to the Capitol Singers, I joined them during my lunch break simply because I enjoy singing. I am currently an active member in our church s choir  I honestly did not see or notice any signs regarding molesting children or raping women when I entered the circle of singers. If I had, I can assure you that a most certainly would have immediately left. Again, I joined them simply because I enjoy singing. With respect to my teaching, I also take that very seriously and take great offense to accusations that I do not  You have visited my classroom on numerous occasions and sat in on a few lessons. What did you see and hear I stick to the objectives and leave the politics out.He couldn t resist joining a group of Scott Walker haters in public but we re supposed to trust he keeps politics out of the classroom? He didn t see what the signs said? He was unclear of the lyrics he was singing off a sheet?I reached out to Horizons principal Karen Brice. Initially she told me she hadn t heard of the incident and frankly found it hard to believe. But she told me she would look into it. A few days later she called me back, saying only that school officials were investigating to determine whether district policy had been violated.Then there is this classic line from Niquette in his email response to the parent:In retrospect, however, I do think I will save singing with the Capitol Singers for a time when I am at the capitol of my own accord to better reduce any opportunities of misunderstanding.Via: EAG News",798,4458,0
" I think that maybe I wouldn t be here if it wasn t for Twitter,  Donald Trump told Fox News earlier this year.  This possibility apparently has Twitter co-founder Evan Williams staying up at night, as he just apologized for any role Twitter played in putting Orange Mussolini in the White House. It s a very bad thing, Twitter s role in that,  Williams told the New York Times in an article published Saturday.  If it s true that he wouldn t be president if it weren t for Twitter, then yeah, I m sorry. This isn t the first time Williams has expressed dismay at the impact of social media on Trump s message  of hate.   What we tend to forget is that Zeus was so pissed at Prometheus that he chained him to a rock so eagles could peck out his guts for eternity,  he said in a commencement speech at the University of Nebraska earlier this month.  Some would say that s what we deserve for giving the power of tweets to Donald Trump. Unfortunately, Trump is correct that Twitter played a huge role in swinging his election his way   especially with numerous paid Russian trolls on his side spreading lies about his opponent.Even more unfortunately, the lies and hate he continues to tweet as President* are continuing to have a deleterious impact on our nation.Featured image via Getty Images/Pool",233,1298,0
